Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Ernst Stavro Blofeld	Ernst-Stavro Blofeld	male		Gdingen	Germany	right, libertarian	single	James Bond	devising evil schemes, running a clandestine spy organization	bobsled	phosgene gas jets	Nehru jacket, Mao suit, monocle	James Bond, Terrorism, Finance, SPECTRE	crime, finance, business	fictional	Donald Pleasance, Telly Savalas, Charles Gray	Ian Fleming	SPECTRE	SPECTRE	Thunderball, You Only Live Twice, On Her Majesty's Secret Service	sinister, menacing, ruthless, sadistic	tall, strong, shrewd, cultured, brilliant	Villain, Criminal, Crimeboss, Mastermind	Bad, Chs
Dr. Julius No	Julius No	male		Peking	China	right, libertarian	single	James Bond	devising evil schemes, collecting stamps		metal pincer claws	gunmetal kimono	James Bond, Terrorism, Finance	crime, finance, business	fictional	Joseph Wiseman	Ian Fleming		SMERSH	Doctor No	ruthless, cold-blooded, sadistic, cruel, greedy, cold-handed, vengefui, lacking-in-manual-dexterity, sinister	tall, resilient, business-savvy, brilliant, scientific	Villain, Criminal, Crimeboss, Mastermind	Bad, Chs, Mad
Sir Hugo Drax	Hugo Drax	male		Berlin, Leipzig	Germany	right, libertarian	single	James Bond	devising evil schemes, striving for world domination	space shuttle	chemical toxins, Dobermann hounds	smoking jacket	James Bond, Terrorism, Finance	crime, finance, business	fictional	Michael Lonsdale	Ian Fleming	Moonraker rocket	SMERSH	Moonraker	ruthless, megalomaniacal, genocidal, sinister, delusional, arrogant, manipulative, treacherous	strategic, visionary, brilliant, cunning	Villain, Terrorist, Crimeboss, Mastermind	Bad, Cce
Le Chiffre		male		Marseille	France	right, libertarian	single	James Bond	devising evil schemes, cheating at poker, playing Baccarat		carpet beater	white tuxedo	James Bond, Terrorism, Finance	crime, finance, business	fictional	Mads Mikkelsen, Orson Welles	Ian Fleming		SMERSH	Casino Royale	ruthless, cold-blooded, sadistic, cruel, greedy, sinister	strategic, shrewd, cool-headed, business-savvy, poker-faced	Villain, Terrorist, Crimeboss	Bad, Mpb, Chs, Mad
James Dean	James Dean	male	Marion	Indiana	USA		single		starring in Hollywood movies, racing fast cars	1955 Porsche 550 Spyder	teenage angst	Lee 101 Riders jeans , black leather jacket, white T-shirt, black sunglasses	Hollywood, Acting	movies							disillusioned, surly, rebellious, angst-ridden, aloof, disaffected	handsome, sincere, compelling	Actor	
James Franco	James Franco	male	Palo Alto	California	USA	left	single		starring in Hollywood movies,	BMW i3		Lee 101 Riders jeans , black leather jacket, white T-shirt	Hollywood, Acting	movies							attention-seeking, greasy, listless	handsome, multi-talented, intelligent,	Actor, Writer	
James Joyce	James Joyce	male	Dorset Street	Dublin	Ireland	left	married to Nora Barnacle		writing modern fiction	Low-back'd Car	bad puns	tweed suit	Modern literature, Irish literature	literature				Ulysses, Dubliners, Finnegan's Wake			foul-mouthed, vulgar, profane, blasphemous, linguistically-perverse	innovative, fluid	Writer, Novelist, Playwright	
James T. Kirk	James Kirk	male	Riverside	Iowa	USA		single	Khan Noonien Singh	making strategic decisions, commanding a spaceship	U.S.S. Enterprise NCC-1701	phaser, photon torpedo	tight black trousers, Starfleet tunic, Starfleet uniform, black leather boots	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	William Shatner, Chris Pine	Gene Roddenberry		Starfleet	Star Trek	randy, self-regarding, promiscuous, pompous, self-aggrandising,	adventurous, brave, inspiring, resourceful, clever, capable, spirited	Captain, Adventurer, Astronaut, Hero	Cap 
Jamie Oliver	Jamie Oliver	male	Hoxton	London	UK		married to Jules Oliver	Gordon Ramsay	cooking dinners, running restaurants, promoting healthy eating	Aston Martin Vantage	kitchen cleaver	kitchen whites, goofy sweatshirt	Cooking, the Kitchen	television, cooking				The Naked Chef		The Naked Chef	mockney, phony,	affable, entertaining, cheery, good-hearted, chirpy	Chef, Restauranteur	
Jane Austen	Jane Austen	female		Winchester	UK		single		writing romantic fiction	horse-drawn carriage	lady's fan	bustle	Romantic novels, Romantic literature	literature		Anne Hathaway		Pride and Prejudice, Sense and Sensibility			prim, middle-class, bourgeois	realistic, ironic, comic, observant, socially-aware	Writer, Novelist	
Janis Joplin	Janis Joplin	female	Port Arthur	Texas	USA	left	single		singing rock songs	Mercedes Benz, psychedelic Porsche 356	psychedelic scream	hippy shirt, flouncy tunic, flares	Psychadelic music	music, singing		Bette Midler		Ball 'n' Chain, Mercedes Benz	Big Brother and the Holding Company		drug-addled	electrifying, soulful, psychedelic	Rock Singer, Singer, Musician	
Jar Jar Binks	Jar-Jar Binks	male			Naboo		single	Darth Maul	providing comic relief	Gungan submarine	Gungan battle staff	flares	Star Wars	science fiction	fictional	Ahmed Best	George Lucas			Star Wars: The Phantom Menace, Star Wars: Attack of the Clones, Star Wars: Revenge of the Sith, Star Wars	foolish, silly, clumsy, goofy, buffoonish, incomprehensible	friendly, laid-back, cute	Fool, Friend	Kz
Jason Bourne	Jason Bourne	male	Nixa	Missouri	USA	left	single	CIA	eluding capture, killing people in ingenious ways, eluding the CIA	Volga 3110 sedan	Martial Arts	long greatcoat	CIA, Espionage	espionage	fictional	Matt Damon	Robert Ludlum		Treadstone	The Bourne Identity	tormented, amnesiac, traumatized, deadly, unsettled	highly-trained, resourceful, responsive, fast, strong, agile, brave, dashing, nimble, agile, quick-thinking, adept, tactical, proficient	Spy, Adventurer, Hero, Killer, Secret Agent	Lrg
Jay Leno	Jay Leno	male	New Rochelle	New York	USA	moderate	married	David Letterman	doing stand-up, hosting a late night chat show	1967 Lamborghini Miura P400	scripted jokes	sharp suit	Late-night TV, Chat Shows, NBC, Stand-Up Comedy	television, comedy					The Tonight Show	The Tonight Show	cheesy, corny, big-chinned	affable, entertaining, cheery, good-hearted, funny, witty	Comedian, TV Host	
Jay-Z Carter	Jay-Z Carter	male	Brooklyn	New York City	USA	left	married to Beyoncé		producing Hipbop records, singing Hipbop songs	1959 Rolls Royce Silver Cloud II convertible	hipbop put-downs	sharp suit	Rap music, Hip-Hop	music, singing, business							thuggish, loutish, egotistical, self-regarding	soulful, poetic, smooth, clever, entertaining, flowing	Singer, Musician, Rapper	
JD Salinger	JD Salinger	male	Cornish	New Hampshire	USA				hiding from the public, writing modern fiction, eluding the public gaze				American literature	literature				Catcher in the Rye			reclusive, alienated, anti-social	private, influential, insightful, profound	Writer, Novelist, Recluse	
Beyoncé	Beyoncé	female	Houston	Texas	USA		married to Jay-Z Carter		singing Hipbop songs	1959 Rolls Royce Silver Cloud II convertible	pepper spray, Taser gun, knee kick	sequined dress, tight dress	Rap music, Hip-Hop	music, singing							misshapen, tacky, pear-shaped	beautiful, curvacious, melodic, tuneful, sexy, seductive,	Pop Singer, Singer, Musician	
Jeff Koons	Jeff Koons	male	York	Pennsylvania	USA	libertarian			making modern art, selling modern art, making kitsch, selling kitsch	BMW 735i	giant plastic dildo		American art, Modern art	art				Balloon Dog			kitschy, crass, cynical, self-merchandising, superficial, decadent, self-promoting, sensationalist, tacky	pioneering, playful, polished, eye-popping, engrossing	Artist, Painter, Sculptor	
Jenna Jameson	Jenna Jameson	female	Las Vegas	Nevada	USA	libertarian			starring in pornographic movies	Lamborghini Murcielago	vibrator set to stun	birthday suit	Pornography, Porn movies	pornography, movies				The Masseuse, Jenna Loves Rocco			tacky, tasteless, lewd, obscene	erotic, sexy, alluring, seductive	Actress, Porn Star, Pornographer	
Jeremy Clarkson	Jeremy Clarkson	male	Chipping Norton	Cotswolds	UK	right	married	Piers Morgan	hosting automotive shows, test-driving cars, insulting minorities	Ford Escort RS Cosworth, Škoda Yeti, Volkswagen Scirocco, Mercedes-Benz 600	xenophobic jokes	tweeds	the Right, Cars	television				Top Gear	Top Gear	Top Gear	crass, boorish, reactionary, unsubtle, scornful, insensitive, glib, unsympathetic, derogatory	entertaining, humorous, forthright, deadpan	Writer, TV Host, TV Presenter	
Piers Morgan	Piers Morgan	male	Manhattan	New York City	USA	left	married	Jeremy Clarkson	interviewing celebrities, interviewing politicians	BMW M3 Roadster	rolled-up newspaper	pink tie	Chat Shows, the News	television				Piers Morgan Live	CNN		cocky, grating, rude, self-regarding, self-promoting, narcissistic	direct, frank, ambitious, media-savvy	Pundit, TV Host, Interviewer	
Jerry Lee Lewis	Jerry Lee-Lewis	male	Ferriday	Louisiana	USA	libertarian	married	Elvis Presley	singing rock songs, playing rock piano, marrying underage girls		great balls of fire		Rock music	music		Dennis Quaid		High School Confidential, Whole Lotta Shakin' Goin' On			turbulent, scandalous	entertaining, pioneering, energetic, electrifying	Rock Singer, Singer, Musician, Pianist	
Jerry Lewis	Jerry Lewis	male	Newark	New Jersey	USA	left			doing slapstick comedy, starring in comedies, doing stand-up		zany antics		Comedy, Movies, Hollywood	comedy, movies				The Nutty Professor	Lewis and Martin		goofy, silly, absurd,	madcap, hilarious, entertaining, funny, humorous, zany, quick-witted	Actor, Comedian	
Jerry Seinfeld	Jerry Seinfeld	male	Brooklyn	New York City	USA		married	Newman	doing stand-up, starring in sit-coms	1973 Porsche 911 RSR	observational comedy		The Seinfeld Chronicles, Comedy	comedy, television		Jerry Seinfeld		The Seinfeld Chronicles		Seinfeld	inconsequential, shallow, trivial,	observant, witty, funny, humorous, engaging, wealthy, successful	Comedian, Actor	
Jerry Springer	Jerry Springer	male	Highgate	London	UK	left, libertarian	married	Jerry Springer, Ricki Lake	hosting reality TV shows	BMW M3 Roadster	chair over the head		Reality TV, Afternoon TV	television, culture				The Jerry Springer Show		Jerry Springer: The Opera	tacky, tasteless, trashy, sensationalist	entertaining, provocative,	Presenter, TV Host, Interviewer	
Jesse Jackson	Jesse Jackson	male	Greenville	South Carolina	USA	left	married	Al Sharpton	suing large corporations, promoting racial harmony	black Escalade	race card		the Left, the Democrats, American politics	politics				Rainbow PUSH Coalition	The Democratic Party		preachy, extortionate	liberal, progressive, influential, populist	Politician, Campaigner	
Jim Jones	Jim Jones	male	Jonestown	Guyana	South America	right	single		running a religious cult, organizing mass suicides		poisoned Kool-Ade		Christian Fundamentalism	religion		Powers Boothe		The Jonestown Massacre, The Peoples Temple	Peoples Temple		deranged, hypocritical, abusive, twisted, delusional, psychotic, manipulative	charismatic, energetic, seductive, beguiling	Cult Leader, Preacher	
Jim Morrison	Jim Morrison	male	Fictional Place	Paris	France	left, libertarian	dating Pamela Courson		singing rock songs, writing rock songs	1967 Shelby GT500	Riders on the Storm	hippy shirt, flouncy tunic, flares	Rock music	music, singing		Val Kilmer		The Doors	The Doors		drug-addled, alcoholic, hedonistic, narcissistic	iconic, influential, improvisational, charismatic, handsome, psychedelic, poetic	Musician, Singer, Rock Singer	
Jimi Hendrix	Jimi Hendrix	male	Seattle	Washington State	USA	left, libertarian	single		singing rock songs, writing rock songs, playing rock guitar	1969 Corvette Stingray	atomic guitar	hippy shirt, flouncy tunic, flares	Rock music, Guitar music	music, singing		Andre 3000		The Jimi Hendrix Experience	The Jimi Hendrix Experience		drug-addled, alcoholic, violent	talented, compelling, entertaining, electrifying, pioneering	Musician, Singer, Guitarist, Rock Singer	
Jimmy Cagney	Jimmy Cagney	male	Stanfordville	New York	USA		married	Humphrey Bogart	starring in Hollywood movies, playing tough guys	1934 V12 Auburn	machine gun, mobster's gat	sharp suit	Hollywood, Acting, Comedy	movies							stubborn, obstinate,	tough, hard-boiled, charismatic, witty, energetic, deadpan, versatile	Actor	
Jimmy Carter	Jimmy Carter	male	Plains	Georgia	USA	left	married	Ronald Reagan	building houses for poor people, promoting world peace, campaigning for world peace	armored towncar	peanut shooter	staid suit	the Left, the Democrats, American politics	politics, history					The Democratic Party		weak, ineffectual, incompetent	progressive, liberal, sympathetic, diplomatic	President, Political Leader	
Jimmy Stewart	Jimmy Stewart	male	Beverly Hills, Hollywood	California	USA	moderate	married		starring in Hollywood movies, playing everyman characters	1936 DeSoto Airstream	giant invisible rabbit	flannel suit	Hollywood, Acting	movies							drawling, hokey, sappy	affable, down-to-earth,natural, soft-spoken	Actor	
Joan Rivers	Joan Rivers	female	Manhattan	New York City	USA	libertarian	married	Chelsea Handler	insulting celebrities, doing stand-up		caustic put-downs	fur stole	Comedy	comedy, television							bitchy, tart, wrinkly, sarcastic, hurtful	funny, witty, quick-witted, incisive, entertaining	Comedian, TV Host	
Joaquin Phoenix	Joaquin Phoenix	male	Río Piedras	Puerto Rico	USA				starring in action movies, starring in indy movies		gladiator short sword		Hollywood, Acting, Serious Acting	movies							hare-lipped, po-faced	intense, convincing, compelling	Actor	
Joe Biden	Joe Biden	male	Claymont	Delaware	USA	left	widowed	Sarah Palin	plagiarizing political speeches	armored towncar	soporific voice	staid suit	the Left, the Democrats, American politics	politics					The Democratic Party		gaffe-prone, plagiaristic, unoriginal, off-putting, offensive	unscripted, unflitered	Politician, Vice President	
Joe Louis	Joe Louis	male	La Fayette	Alabama	USA			Max Schmeling	winning heavyweight titles, knocking out opponents, winning boxing matches		roundhouse punch, right cross	boxing shorts	Boxing	sport							naïve, financially-ignorant	hard-punching, powerful, honest, hardworking	Boxer	
Johann Sebastian Bach	Johann-Sebastian Bach	male		Leipzig, Eisenach	Germany	right	married		composing classical music, playing the organ	horse-drawn carriage	piano-wire garrote	powdered wig	Classical music, Baroque music, Religious music	music, religion				The Well-Tempered Clavier, Toccata and Fugue in D minor			pious, meretricious	esteemed, dedicated, melodic, tuneful, devout, inventive, virtuosic	Musician, Composer	
John Belushi	John Belushi	male	Humboldt Park, Chicago	Illinois	USA	libertarian	single	Dean Vernon Wormer	starring in madcap comedies,	stolen police car	vulgar jokes,		Comedy, Movies, Hollywood	comedy, television					Saturday Night Live		drug-addled, alcoholic, reckless, fat, slobbish, sweaty, dirty, vulgar, tasteless, disgusting	funny, entertaining, energetic, hilarious, brash,	Actor, Comedian	
John Dillinger	John Dillinger	male	Indianapolis	Indiana	USA	libertarian	single	Melvin Purvis, J. Edgar Hoover	robbing banks, eluding the FBI	1933 Essex Terraplane	machine gun	sharp suit	the American Depression, Bank robbing	crime		Johnny Depp		The Terror Gang	The Terror Gang	Public Enemies	violent, brutal, thieving, murderous	handsome, charming, cunning, daring, elusive	Bank Robber, Criminal, Fugitive	Av
